H3MeK4_N,CaNA_N,class,grade
0.128185603,1.67565235,5,A
0.1311187,1.743609645,5,D
0.127431075,1.926426587,5,D
0.146901093,1.700563438,5,C
0.148379919,1.8397302180000001,5,A
0.14218043,1.816388575,5,C
0.157498978,1.5284838580000002,5,A
0.159409283,1.6526582280000002,5,B
0.158235497,1.834599448,5,B
0.192333633,1.5168615109999999,5,D
0.193054604,1.6135480919999998,5,B
0.19552874399999998,1.722971374,5,D
0.214088398,1.426933702,5,D
0.22528477,1.500070314,5,D
0.22421203399999998,1.6138968480000002,5,A
0.163994829,1.297220427,5,B
0.15820598,1.363189369,5,C
0.15854319,1.4044814509999999,5,C
0.195738683,1.1700381359999998,5,A
0.16997737,1.272986338,5,B
0.159939582,1.279936226,5,A
0.23990734600000002,1.1782484009999998,5,B
0.197067118,1.2199661590000002,5,C
0.18354710300000002,1.2461300309999999,5,A
0.233123804,1.0774801859999998,5,A
0.206741266,1.1443777290000001,5,B
0.24380630600000003,1.238457207,5,C
0.267758702,0.9814143959999999,5,A
0.21762072300000002,0.994403582,5,A
0.20828557399999997,1.030948092,5,D
,1.649982724,5,D
,1.63898847,5,B
,1.564924819,5,C
,1.68222208,5,B
,1.660352255,5,A
,1.61081609,5,B
,1.7273805180000001,5,C
,1.650846275,5,D
,1.555326991,5,B
,1.6555763819999998,5,D
,1.6817025209999998,5,D
,1.5857929519999998,5,C
,1.6155758080000002,5,D
,1.561913696,5,D
,1.530457516,5,A
,1.680398751,5,A
,1.720906651,5,A
,1.645763881,5,B
,1.699259836,5,A
,1.705363309,5,B
,1.68242681,5,A
,1.653051034,5,D
,1.6538088780000002,5,B
,1.607118742,5,C
,1.739865311,5,B
,1.718461944,5,C
,1.690157637,5,A
,1.73015873,5,B
,1.633585331,5,B
,1.613042782,5,A
,1.8178618569999998,5,C
,1.7694048919999998,5,D
,1.7231446719999999,5,D
,1.682969895,5,D
,1.753591759,5,B
,1.72409726,5,D
,1.6262907530000001,5,A
,1.61497516,5,A
,1.5863592930000001,5,D
,1.5382914019999998,5,C
,1.5779649119999999,5,C
,1.547757181,5,A
,1.3920086390000002,5,D
,1.3792727269999998,5,D
,1.374519495,5,B
0.14351664,1.6271814119999999,5,A
0.145719399,1.562096053,5,A
0.14287877300000001,1.5718683759999998,5,A
0.141681217,1.6466076330000001,5,D
0.146408153,1.6076311209999998,5,B
0.142138599,1.5065201190000002,5,A
0.150856768,1.54136263,5,D
0.17000412,1.4857025130000001,5,D
0.156126979,1.509004104,5,B
0.16566014199999998,1.3974385669999998,5,C
0.174166667,1.388229167,5,B
0.173702495,1.4057269190000001,5,A
0.10178700800000001,0.8203332529999999,5,A
0.115148655,0.788461538,5,D
0.112689507,0.790975289,5,C
0.152813959,1.6332268369999998,5,A
0.152452283,1.5825561730000002,5,C
0.15371068,1.567437992,5,D
0.149079563,1.606365055,5,B
0.147383845,1.396849625,5,A
0.151171439,1.593467212,5,A
0.15643378,1.593664236,5,D
0.15693713199999998,1.5371632080000002,5,B
0.154835673,1.540591419,5,D
0.161871227,1.386720322,5,A
0.16436313,1.373371781,5,B
0.164849586,1.370280638,5,A
0.220638643,1.153526971,5,B
0.212491027,1.14626705,5,D
0.21477126600000002,1.060260886,5,A
0.162684331,1.712404385,5,C
0.162424622,1.6160231809999999,5,D
0.15817779199999998,1.670120215,5,B
0.18816281199999998,1.576911423,5,B
0.184813463,1.5581914030000001,5,D
0.184348001,1.5853928069999998,5,D
0.245123537,1.5300390119999998,5,C
0.24471299100000002,1.5905687640000001,5,D
0.219259065,1.571466106,5,B
0.258953597,1.459669885,5,C
0.25185302,1.4980287019999998,5,D
0.28016688100000003,1.5003209240000002,5,A
0.31519898399999996,1.455546147,5,C
0.309838473,1.4054961190000002,5,A
0.310145548,1.423587329,5,A
,1.620141162,5,A
,1.6337932830000002,5,C
,1.626736292,5,B
,1.676654265,5,B
,1.642885533,5,A
,1.6000657459999998,5,D
,1.6531717380000002,5,C
,1.4021101,5,C
,1.545307305,5,A
,1.573832216,5,A
,1.572645528,5,C
,1.5793111530000001,5,C
,1.530497592,5,D
,1.5299643669999998,5,B
,1.553157216,5,B
0.134363172,1.461403046,5,C
0.13610586,1.449597749,5,A
0.137085329,1.449485542,5,C
0.142112434,1.5759137490000001,5,B
0.15639187599999999,1.6123058540000001,5,C
0.153014925,1.5383283580000002,5,C
0.147699197,1.5998301419999998,5,A
0.151024558,1.537384639,5,C
0.15725775,1.510111658,5,C
0.160335471,1.58677849,5,C
0.16287354,1.568771027,5,D
0.18140080100000003,1.549184331,5,A
0.17564526800000002,1.4308405030000002,5,C
0.18113812399999998,1.455516965,5,A
0.184081579,1.473049927,5,B
0.168739983,1.027627261,3,A
0.18704981399999998,0.9821821209999999,3,D
0.168764965,0.990036302,3,C
0.188779452,1.0286790270000001,3,C
0.18646848800000002,1.058488563,3,D
0.187925998,1.051022395,3,C
0.238487458,1.0758767,3,B
0.228868018,1.04164607,3,A
0.21623996,1.082705823,3,A
0.24367340399999998,1.076874105,3,D
0.249959839,1.105863454,3,A
0.25244140600000003,1.127766927,3,B
0.324725498,1.062830419,3,B
0.295872497,1.072537801,3,B
0.322888566,1.096908072,3,B
0.210055575,0.927144842,3,A
0.202982811,0.891220088,3,A
0.19437468600000002,0.872258497,3,A
0.234145246,0.979795712,3,B
0.235190873,0.9473453270000001,3,C
0.221403813,0.930784229,3,B
0.257560838,1.010128007,3,B
0.28418598300000003,0.9980798240000001,3,A
0.247269252,0.996723102,3,D
0.305637467,1.025151778,3,A
0.312941582,1.0413579179999999,3,B
0.28267069300000003,0.983727562,3,A
0.35546086600000004,1.049338417,3,A
0.37200532399999997,1.062555457,3,B
0.33660987299999995,1.01310616,3,B
0.146803603,0.9015268009999999,3,D
0.150458305,0.898222669,3,C
0.165073295,0.886551944,3,A
0.148737461,1.006157039,3,D
0.152,0.9986666670000001,3,B
0.156903917,0.9880530009999999,3,A
0.156263794,0.9511786,3,D
0.16267247599999998,0.981299927,3,C
0.174675749,0.9890827659999999,3,C
0.163415414,0.9269800659999999,3,A
0.16777373,0.950074995,3,D
0.176857111,0.994431451,3,B
0.16289473699999998,0.872894737,3,B
0.16819852899999999,0.8482142859999999,3,A
0.175611734,0.879005002,3,B
,0.901329475,3,D
,0.930509413,3,A
,0.895977932,3,C
,0.94684345,3,C
,0.9873980729999999,3,D
,0.9846636879999999,3,B
,1.105637379,3,C
,1.081227743,3,D
,1.068778587,3,B
,1.103787403,3,A
,1.115053538,3,C
,1.100538972,3,A
,1.135862913,3,C
,1.1758296190000002,3,B
,1.126874554,3,D
,0.955277835,3,D
,0.971223022,3,C
,0.919828203,3,B
,1.0,3,A
,1.036933265,3,D
,0.99222395,3,C
,1.084839098,3,D
,1.115019831,3,A
,1.092526082,3,A
,1.088864388,3,A
,1.1317485,3,A
,1.1247791520000001,3,A
,1.170413816,3,B
,1.1963636359999998,3,C
,1.263245033,3,D
0.185728124,0.957378108,3,A
0.188827485,0.980757707,3,B
0.179909042,1.065877475,3,D
0.219236565,0.977482002,3,D
0.20593206,0.996028393,3,A
0.217575026,1.104691273,3,A
0.227177624,0.99922916,3,A
0.237972988,1.0333742609999998,3,A
0.241648737,1.093760616,3,B
0.246666667,1.020138889,3,D
0.253333333,1.070175439,3,B
0.249537893,1.109910422,3,C
0.296713112,1.030546624,3,D
0.3070128,1.0499369029999999,3,C
0.291590494,1.135283364,3,C
0.19776249,0.643388229,3,D
0.215110987,0.701771585,3,C
0.186104751,0.752790498,3,D
0.239853715,0.714387655,3,C
0.20549440600000002,0.627581188,3,A
0.224938429,0.8022439109999999,3,D
0.235166163,0.720483384,3,B
0.237160302,0.756734108,3,D
0.224575761,0.8011794440000001,3,B
0.298035098,0.643317834,3,B
0.280592593,0.752740741,3,A
0.248175182,0.778489498,3,D
0.26021798399999996,0.69015181,3,B
0.302334707,0.775358054,3,B
0.254291417,0.806986028,3,D
0.157905701,1.026248177,3,B
0.155061762,0.991166931,3,A
0.150594543,0.995876005,3,B
0.169721044,0.991694502,3,D
0.16909284600000002,0.987040653,3,A
0.165391459,0.9838078290000001,3,B
0.180733945,0.961697248,3,B
0.18683795399999997,0.941852603,3,A
0.181040383,0.9742185720000001,3,A
0.221571278,0.95253117,3,D
0.197063142,0.9393538909999999,3,B
0.208941743,0.970344724,3,B
0.20421537399999998,0.8901877440000001,3,C
0.21444656199999998,0.8894855359999999,3,A
0.211234745,0.9309045229999999,3,C
,1.061007348,3,B
,1.084656901,3,A
,1.025930018,3,B
,1.145109093,3,D
,1.166873964,3,D
,1.1522385,3,A
,0.9978384220000001,3,C
,0.977702243,3,A
,1.0051972279999999,3,B
,1.094440608,3,B
,1.0976784179999999,3,B
,1.061207189,3,D
,1.144940747,3,C
,1.091343025,3,D
,1.104803493,3,D
,1.011715311,3,A
,1.009781122,3,D
,0.960229165,3,B
,1.183037684,3,A
,1.108152503,3,D
,1.0664237909999998,3,D
,1.1637851540000002,3,C
,1.16327464,3,A
,1.140143328,3,A
,1.3317300890000001,3,D
,1.275132275,3,A
,1.261455897,3,C
,1.400758786,3,B
,1.3622047240000001,3,B
,1.340517241,3,C
,1.3996149219999998,4,D
,1.41097815,4,D
,1.3322657009999999,4,B
,1.394424074,4,C
,1.366823022,4,D
,1.32032767,4,D
,1.387826391,4,C
,1.357283045,4,C
,1.261413905,4,C
,1.3924737530000002,4,D
,1.3478361490000001,4,A
,1.30577957,4,A
,1.29728929,4,D
,1.294922159,4,D
,1.202861595,4,B
0.182497083,1.7368028000000002,4,D
0.19393172,1.8439098040000002,4,B
0.179422083,1.770310192,4,D
0.190597359,1.763358779,4,D
0.1915828,1.807502287,4,D
0.19165118399999997,1.707094752,4,D
0.205046087,1.760818622,4,A
0.18735684800000002,1.7338524969999998,4,D
0.184458168,1.601308631,4,B
0.210144217,1.793780045,4,A
0.211953842,1.81605681,4,B
0.20839920899999997,1.771640316,4,B
0.232003408,1.7320744,4,D
0.258420606,1.743136145,4,C
0.273763717,1.763146644,4,D
0.139980878,1.6040717619999998,4,B
0.147179114,1.56109586,4,D
0.144876922,1.5222215959999998,4,B
0.15728425599999998,1.620553665,4,B
0.159059686,1.5205312169999998,4,C
0.15839460800000002,1.499770221,4,C
0.18287037,1.5145933980000001,4,C
0.17514792899999998,1.515384615,4,B
0.183442525,1.4215803059999998,4,C
0.207746934,1.469076824,4,B
0.20255243899999997,1.395628001,4,D
0.193305754,1.370690736,4,A
0.23730738,1.3513382,4,A
0.235700197,1.362426036,4,D
0.231555051,1.3401978270000001,4,A
0.11527007800000001,1.7460026569999998,4,B
0.127500679,1.7899429709999999,4,D
0.12105034699999999,1.6891059030000002,4,C
0.14172574599999999,1.842434694,4,A
0.13958243,1.8105445759999999,4,B
0.123796172,1.7413751069999999,4,A
0.137073921,1.760424257,4,D
0.136323799,1.838180225,4,A
0.137736141,1.716630536,4,B
0.145300865,1.683336687,4,A
0.152592143,1.604394492,4,C
0.14304265300000002,1.585256218,4,D
0.13250620300000002,1.503349876,4,D
0.17244713,1.42223565,4,B
0.144660194,1.410194175,4,A
,2.009125097,4,C
,2.038111428,4,C
,2.051218436,4,D
,1.9707905,4,D
,2.074491122,4,C
,2.028409091,4,A
,1.996931089,4,B
,1.9633130559999998,4,A
,2.0271025430000003,4,D
,1.558172194,4,C
,1.6729222519999998,4,D
,1.742002064,4,A
,1.52708272,4,B
,1.665583936,4,A
,1.77817615,4,B
0.157750274,1.3636590480000002,4,A
0.134223079,1.294631077,4,B
0.128884441,1.5315495630000002,4,B
0.152431869,1.27793715,4,A
0.14512170900000002,1.348345162,4,B
0.134933043,1.42505608,4,B
0.179460498,1.205555111,4,B
0.155341378,1.279744067,4,D
0.174938575,1.335708436,4,B
0.158949881,1.026348449,4,C
0.151529729,1.082836252,4,D
0.152843245,1.148931903,4,D
0.185623294,1.004549591,4,B
0.17824892,1.069362649,4,B
0.241374626,1.083537082,4,A
0.18674976,2.0770839430000003,4,D
0.16377681,1.963431671,4,B
0.156672641,2.0248085380000003,4,C
0.164085875,2.068762795,4,D
0.15361491800000002,2.115555103,4,B
0.148161138,2.01583325,4,A
0.17785020899999998,2.103875859,4,A
